Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,1372.014900432725,pressure_inlet,175.67189777310017,5515808.0,50.0,298.15,N/A,N/A,N/A
0.0,1372.014900432725,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.014900432725,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.014900432725,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.014900432725,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.014900432725,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.014900432725,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.014900432725,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.014900432725,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.014900432725,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.014900432725,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.014900432725,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.014900432725,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.014900432725,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.014900432725,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0149004327252,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0149004327252,INTER1,175.67190039081544,5515808.0,50.0,298.14999943549793,0.2781695806103025,N/A,219589.8754885193
0.0,1372.0149004327252,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0149004327252,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.0149004327252,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0149004327252,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0149004327252,INTER1,175.67189777310017,5515808.0,50.00000074505806,298.15000000000003,0.2781695806103025,N/A,219589.8787606634
0.0,1372.0149004327252,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0149004327252,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.0149004327252,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0149004327252,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0149004327252,INTER1,175.67189777310017,5515808.082191944,50.0,298.15000154600006,0.2781695764652528,N/A,219589.87221637522
0.0,1372.0149004327252,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0149004327252,INTER2,1.878577640064081,103421.40000000001,50.0,293.1499999997518,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.0149004327252,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0148799820402,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0148799820402,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.0148799820402,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0148799820402,INTER2,1.8785776680570692,103421.40000000001,50.0,293.1499957116199,0.002974654232718917,N/A,2348.2220850713366
0.0,1372.0148799820402,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0148799820402,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0148799820402,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.0148799820402,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0148799820402,INTER2,1.878577640064081,103421.40000000001,50.00000074505806,293.1499999997518,0.002974654232718917,N/A,2348.2221200625722
0.0,1372.0148799820402,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,1372.0149004327247,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,1372.0149004327247,INTER1,175.67189777310017,5515808.0,50.0,298.15000000000003,0.2781695764652528,N/A,219589.87221637522
0.0,1372.0149004327247,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1372.0149004327247,INTER2,1.878577640064081,103421.40154109897,50.0,293.1500043133816,0.002974654188393115,N/A,2348.2220500801013
0.0,1372.0149004327247,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
0.0,,pressure_inlet,175.67189777310017,5515808.0,50,298.15,N/A,N/A,N/A
0.0,,INTER1,175.67189777381785,5515808.000000005,-2237.578692874968,298.14999999984536,-12.448526346144934,N/A,439773375.50949347
0.0,,SmoothBend,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,,INTER2,52.22179251840188,2860356.885889156,-1239.9439184586695,329.46530832565213,-2.0506481462138826,N/A,40144482.608786575
0.0,,Mass Flow Outlet,1.878577640064081,103421.40000000001,N/A,N/A,10,N/A,N/A
